tax_id,abundance,species,genus,family,order,class,phylum,clade,superkingdom,subspecies,species subgroup,species group,estimated counts,barcode,Bird,Air condition,Medium,
562,99.80%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,15925.98805,barcode22,B01,AE,BBE,
562,99.30%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,18557.46356,barcode23,B01,AE,BBE,
584,99.67%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,13582.98195,barcode24,B02,AE,MSA,
584,88.39%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,594.8577823,barcode25,B02,AE,MSA,
1351,11.21%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,75.43674317,barcode25,B02,AE,MSA,
584,99.03%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,3225.37746,barcode26,B02,AE,MSA,
53374,88.89%,Corynebacterium coyleae,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Terrabacteria group,Bacteria,NA,NA,NA,16.88888889,barcode27,B02,AE,MSA,
584,11.11%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,2.111111111,barcode27,B02,AE,MSA,
584,99.80%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,14610.08603,barcode28,B02,AE,MSA,
562,52.43%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,8319.23624,barcode29,B02,AE,MRS,
584,46.85%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,7432.930567,barcode29,B02,AE,MRS,
584,92.44%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,15898.4222,barcode30,B02,AE,MRS,
562,7.19%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,1236.133308,barcode30,B02,AE,MRS,
37734,13.77%,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,220.119562,barcode31,B02,AE,CNA,
2060307,83.25%,Enterococcus sp. FDAARGOS_375,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,1331.245784,barcode31,B02,AE,CNA,
1351,99.81%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,1056,barcode32,B02,AE,CNA,
562,96.62%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,55.07361827,barcode33,B02,AE,CNA,
108486,100.00%,Corynebacterium falsenii,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Terrabacteria group,Bacteria,NA,NA,NA,1,barcode34,B02,AE,CNA,
1351,99.87%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,8187.999951,barcode35,B02,AE,CNA,
1351,99.72%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,3391.537562,barcode36,B02,AE,CNAB,
1351,100.00%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,699,barcode37,B02,AE,CNAB,
1351,100.00%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,397,barcode38,B02,AE,CNAB,
562,99.94%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,11123.08654,barcode40,B02,AE,BBE,
562,99.90%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,16783.84317,barcode41,B02,AE,BBE,
562,99.88%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,14797.48589,barcode42,B02,AE,BBE,
562,99.88%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,24125.08924,barcode43,B02,AE,BBE,
573,99.83%,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,15626.12534,barcode44,B03,AE,MSA,
1354,99.73%,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,15181.53519,barcode45,B03,AE,MSA,
562,99.80%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,11963.86503,barcode46,B03,AE,MRS,
2420313,44.95%,Enterococcus sp. FDAARGOS_553,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,1736.927794,barcode47,B03,AE,CNA,
2582830,44.95%,Enterococcus sp. M190262,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,1736.927794,barcode47,B03,AE,CNA,
1353,7.56%,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,292.1686711,barcode47,B03,AE,CNA,
37734,15.15%,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,1058.84089,barcode48,B03,AE,CNA,
2060307,81.34%,Enterococcus sp. FDAARGOS_375,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,5684.12986,barcode48,B03,AE,CNA,
1353,2.45%,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,171.1481479,barcode48,B03,AE,CNA,
37734,30.98%,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,6.195561305,barcode49,B03,AE,CNA,
2060307,59.02%,Enterococcus sp. FDAARGOS_375,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,11.8044387,barcode49,B03,AE,CNA,
37482,10.00%,Laceyella sacchari,Laceyella,Thermoactinomycetaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,2,barcode49,B03,AE,CNA,
2420313,38.85%,Enterococcus sp. FDAARGOS_553,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,54.00246067,barcode50,B03,AE,CNAB,
2582830,49.38%,Enterococcus sp. M190262,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,68.63393513,barcode50,B03,AE,CNAB,
1353,8.74%,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,12.14882153,barcode50,B03,AE,CNAB,
37734,1.44%,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,2.007858422,barcode50,B03,AE,CNAB,
1353,8.43%,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,91.93074639,barcode51,B03,AE,CNAB,
37734,1.00%,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,10.86378622,barcode51,B03,AE,CNAB,
2420313,45.43%,Enterococcus sp. FDAARGOS_553,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,495.2185775,barcode51,B03,AE,CNAB,
2582830,43.29%,Enterococcus sp. M190262,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,471.8233222,barcode51,B03,AE,CNAB,
1354,99.37%,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,5926.363547,barcode52,B03,AE,CNAB,
2582830,44.91%,Enterococcus sp. M190262,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,4772.643648,barcode53,B03,AE,CNAB,
2420313,45.20%,Enterococcus sp. FDAARGOS_553,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,4802.631114,barcode53,B03,AE,CNAB,
1353,8.15%,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,866.4468043,barcode53,B03,AE,CNAB,
2420313,46.21%,Enterococcus sp. FDAARGOS_553,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,2947.399145,barcode54,B03,AE,CNAB,
2582830,43.77%,Enterococcus sp. M190262,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,2791.351845,barcode54,B03,AE,CNAB,
1353,7.76%,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,494.9730988,barcode54,B03,AE,CNAB,
562,99.73%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,21499.18585,barcode55,B03,AE,BBE,
562,99.64%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,11899.51705,barcode56,B03,AE,BBE,
562,99.52%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,15134.44695,barcode57,B03,AE,BBE,
562,99.72%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,3801.137187,barcode58,B03,AE,BBE,
562,33.19%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,5514.945461,barcode59,B03,AE,BBE,
584,66.20%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,11001.8638,barcode59,B03,AE,BBE,
492670,93.25%,Bacillus velezensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,Bacillus amyloliquefaciens group,Bacillus subtilis group,14614.70055,barcode60,B04,AE,MSA,
1390,6.37%,Bacillus amyloliquefaciens,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,Bacillus amyloliquefaciens group,Bacillus subtilis group,997.8407463,barcode60,B04,AE,MSA,
584,99.93%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,11813.62083,barcode61,B04,AE,MSA,
584,99.91%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,4698.823544,barcode62,B04,AE,MSA,
1408,95.48%,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,1327.127636,barcode63,B04,AE,MSA,
561879,4.24%,Bacillus safensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,58.87236399,barcode63,B04,AE,MSA,
584,99.81%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,17043.48683,barcode64,B04,AE,MSA,
584,99.90%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,23068.87438,barcode65,B04,AE,CNA,
37734,9.51%,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,140.4984307,barcode66,B04,AE,CNA,
2060307,86.92%,Enterococcus sp. FDAARGOS_375,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,1283.875348,barcode66,B04,AE,CNA,
2057791,0.35%,Enterococcus sp. CR-Ec1,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,5.186201237,barcode66,B04,AE,CNA,
1353,2.59%,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,38.1851318,barcode66,B04,AE,CNA,
1255,97.99%,Pediococcus pentosaceus,Pediococcus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,2311.469295,barcode67,B04,AE,CNA,
37734,11.02%,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,461.9890498,barcode68,B04,AE,CNA,
2060307,86.18%,Enterococcus sp. FDAARGOS_375,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,3612.590643,barcode68,B04,AE,CNA,
1353,1.65%,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,69.11845411,barcode68,B04,AE,CNA,
37734,9.78%,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,495.2727155,barcode69,B04,AE,CNAB,
2060307,86.80%,Enterococcus sp. FDAARGOS_375,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,4395.643719,barcode69,B04,AE,CNAB,
1670801,64.72%,Paenibacillus silagei,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,2321.328704,barcode70,B04,AE,CNAB,
1917181,17.23%,Paenibacillus rhizoplanae,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,618.2015916,barcode70,B04,AE,CNAB,
682956,4.50%,Paenibacillus jilunlii,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,161.5756827,barcode70,B04,AE,CNAB,
160799,8.32%,Paenibacillus borealis,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,298.4974095,barcode70,B04,AE,CNAB,
189425,2.62%,Paenibacillus graminis,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,94.12295578,barcode70,B04,AE,CNAB,
584,99.73%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,7633.995658,barcode71,B04,AE,CNAB,
584,99.82%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,7386.793122,barcode72,B04,AE,CNAB,
562,94.72%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,11054.98449,barcode73,B04,AE,BBE,
564,1.88%,Escherichia fergusonii,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,219.0977121,barcode73,B04,AE,BBE,
562,99.61%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,7237.394973,barcode74,B04,AE,BBE,
562,99.68%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,12680.18902,barcode75,B04,AE,BBE,
562,99.72%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,11168.78817,barcode76,B04,AE,BBE,
562,99.79%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,16241.52191,barcode77,B04,AE,BBE,
584,97.48%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,18248.37172,barcode78,B05,AE,MSA,
584,99.84%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,21729.72609,barcode79,B05,AE,MSA,
293388,2.82%,Bacillus aerius,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,450.2349669,barcode80,B05,AE,MSA,
293386,1.86%,Bacillus stratosphericus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,Bacillus altitudinis complex,297.5267945,barcode80,B05,AE,MSA,
1408,5.14%,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,821.6940487,barcode80,B05,AE,CNA,
293387,89.30%,Bacillus altitudinis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,Bacillus altitudinis complex,14268.41003,barcode80,B05,AE,MSA,
584,99.26%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,21088.77523,barcode81,B05,AE,MSA,
293388,2.08%,Bacillus aerius,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,71.01306815,barcode82,B05,AE,MSA,
293387,92.13%,Bacillus altitudinis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,Bacillus altitudinis complex,3142.690469,barcode82,B05,AE,MSA,
293386,1.65%,Bacillus stratosphericus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,Bacillus altitudinis complex,56.40349777,barcode82,B05,AE,MSA,
584,3.49%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,NA,Bacteria,NA,NA,NA,119.0516443,barcode82,B05,AE,CNA,
561879,99.20%,Bacillus safensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,7147.355549,barcode83,B05,AE,MSA,
2060307,85.03%,Enterococcus sp. FDAARGOS_375,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,5874.987188,barcode84,B05,AE,CNA,
37734,11.44%,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,790.1089076,barcode84,B05,AE,CNA,
1353,1.65%,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,113.9627152,barcode84,B05,AE,CNA,
1408,99.45%,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,104572.3961,barcode85,B05,AE,CNA,
1351,98.68%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,26547.92793,barcode86,B05,AE,CNA,
2060307,82.29%,Enterococcus sp. FDAARGOS_375,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,NA,NA,NA,53651.47548,barcode87,B05,AE,CNA,
